Policy_ID,Policy_Text_EN,Summarized_Text
1bddf126-1781-42f1-bdef-6d19e06906c6,"This automobile insurance policy provides comprehensive coverage for damages caused by accidents, theft, vandalism, and natural disasters such as floods, hurricanes, and earthquakes. 
    Liability coverage protects against financial losses arising from bodily injury and property damage to third parties. 
    The policy includes roadside assistance, towing services, and temporary rental vehicle reimbursement during repairs. 
    Policyholders must report any accident within 24 hours and provide necessary documentation for claims processing. 
    Exclusions apply to damages due to reckless driving, driving under the influence, or unauthorized vehicle modifications.","Comprehensive auto insurance covering accidents, theft, and liability."
18b33acc-1f39-4d9e-b045-42b7c75e830b,"This home insurance policy covers damages to residential properties caused by fire, lightning, storms, and burglaries. 
    The policy protects both the building structure and personal belongings, including furniture, electronics, and valuables. 
    Additional living expenses are covered if the home becomes uninhabitable due to covered damages. 
    Policyholders must install smoke detectors and security systems to be eligible for discounted premiums. 
    Claims must be reported within 30 days, supported by photographic evidence and a police report in case of theft. 
    Exclusions include damages due to poor maintenance, mold infestations, and intentional acts of destruction.","Home insurance covering structural damage, theft, and additional living expenses."
7c028259-8eb0-405f-a79b-4e004b85ebfc,"This life insurance policy ensures financial security for beneficiaries in the event of the policyholder’s death. 
    The policy offers a lump-sum payout to cover funeral expenses, outstanding debts, and family living costs. 
    Optional riders include coverage for accidental death, disability, and critical illness. 
    Premiums are determined based on age, health conditions, and lifestyle habits. 
    Medical examinations may be required before approval. 
    The policy includes a 15-day free-look period for cancellations. 
    Exclusions apply to suicides within the first two years, fraudulent claims, and deaths caused by criminal activities.",Life insurance ensuring financial support for beneficiaries with optional riders.
3184c4ec-41c6-48e3-9bc3-417a624e8b96,"This automobile insurance policy provides comprehensive coverage for damages caused by accidents, theft, vandalism, and natural disasters such as floods, hurricanes, and earthquakes. 
    Liability coverage protects against financial losses arising from bodily injury and property damage to third parties. 
    The policy includes roadside assistance, towing services, and temporary rental vehicle reimbursement during repairs. 
    Policyholders must report any accident within 24 hours and provide necessary documentation for claims processing. 
    Exclusions apply to damages due to reckless driving, driving under the influence, or unauthorized vehicle modifications.","Comprehensive auto insurance covering accidents, theft, and liability."
9b61707d-2378-4e15-a184-6a5dca03db6f,"This health insurance policy offers extensive medical coverage, including hospitalization, surgical procedures, prescription drugs, and specialist consultations. 
    Preventive healthcare services such as vaccinations and annual check-ups are included. 
    Coverage extends to emergency medical transportation, maternity care, and rehabilitation therapy. 
    Policyholders may need pre-approval for specific treatments, and co-payment may be required for certain medical procedures. 
    Pre-existing conditions are covered after a waiting period of 12 months. 
    Exclusions include elective cosmetic surgeries, experimental treatments, and alternative medicine procedures.","Extensive health insurance including hospitalization, prescriptions, and maternity care."
1e41c093-33a7-4013-b3ae-edbae542eb13,"This home insurance policy covers damages to residential properties caused by fire, lightning, storms, and burglaries. 
    The policy protects both the building structure and personal belongings, including furniture, electronics, and valuables. 
    Additional living expenses are covered if the home becomes uninhabitable due to covered damages. 
    Policyholders must install smoke detectors and security systems to be eligible for discounted premiums. 
    Claims must be reported within 30 days, supported by photographic evidence and a police report in case of theft. 
    Exclusions include damages due to poor maintenance, mold infestations, and intentional acts of destruction.","Home insurance covering structural damage, theft, and additional living expenses."
de45aadf-6b48-48e2-9dc6-1bb2be01d1f8,"This automobile insurance policy provides comprehensive coverage for damages caused by accidents, theft, vandalism, and natural disasters such as floods, hurricanes, and earthquakes. 
    Liability coverage protects against financial losses arising from bodily injury and property damage to third parties. 
    The policy includes roadside assistance, towing services, and temporary rental vehicle reimbursement during repairs. 
    Policyholders must report any accident within 24 hours and provide necessary documentation for claims processing. 
    Exclusions apply to damages due to reckless driving, driving under the influence, or unauthorized vehicle modifications.","Comprehensive auto insurance covering accidents, theft, and liability."
c944f248-8675-4300-9d95-6c0be16a0761,"This business insurance policy offers liability and property coverage to protect enterprises from financial losses due to lawsuits, accidents, or natural disasters. 
    General liability coverage includes protection against third-party injuries and property damage. 
    Business interruption insurance compensates for lost income during unforeseen shutdowns. 
    Coverage extends to employee injuries under workers’ compensation. 
    Premium rates are based on industry risks and business size. 
    Claims must be filed within 60 days of an incident, with proper documentation. 
    Exclusions include fraudulent business activities, intentional misconduct, and cyber-attacks without security measures in place.","Business insurance protecting enterprises from lawsuits, liabilities, and natural disasters."
3e7b2218-4f21-4d51-91f7-2fa151d87458,"This automobile insurance policy provides comprehensive coverage for damages caused by accidents, theft, vandalism, and natural disasters such as floods, hurricanes, and earthquakes. 
    Liability coverage protects against financial losses arising from bodily injury and property damage to third parties. 
    The policy includes roadside assistance, towing services, and temporary rental vehicle reimbursement during repairs. 
    Policyholders must report any accident within 24 hours and provide necessary documentation for claims processing. 
    Exclusions apply to damages due to reckless driving, driving under the influence, or unauthorized vehicle modifications.","Comprehensive auto insurance covering accidents, theft, and liability."
4e5a4677-9683-4dc3-a7e5-65378f5e906f,"This business insurance policy offers liability and property coverage to protect enterprises from financial losses due to lawsuits, accidents, or natural disasters. 
    General liability coverage includes protection against third-party injuries and property damage. 
    Business interruption insurance compensates for lost income during unforeseen shutdowns. 
    Coverage extends to employee injuries under workers’ compensation. 
    Premium rates are based on industry risks and business size. 
    Claims must be filed within 60 days of an incident, with proper documentation. 
    Exclusions include fraudulent business activities, intentional misconduct, and cyber-attacks without security measures in place.","Business insurance protecting enterprises from lawsuits, liabilities, and natural disasters."
